Type,Module,Name,Documented,Documentation Files,Suggested Doc Path
Function,trim.models.fields.django,email,Yes,account.md; README-4.md; README-2.md; models/fields-auto-template.md; models/fields.md; models/readme.md; models/fields-auto.md; old/models.md; old/old r.md; forms/readme.md; forms/all-fields-form.md; templates/tags/quickform.md,docs/trim/models/fields/django.md
Function,trim.models.fields.django,false_bool,Yes,models/fields.md; models/fields-auto.md; old/models.md,docs/trim/models/fields/django.md
Function,trim.models.fields.django,file,Yes,README-3.md; apps.md; trim-beacon.md; markdown.md; README-4.md; theming/readme.md; urls/functions.md; urls/readme.md; models/fields.md; models/fields-auto.md; old/models.md; old/readme-short.md; forms/all-fields-form.md; views/files-up-down.md; research/trim-docs.md; research/trim more.md; research/themes.md; research/trim bundle.md; research/trim-scripts.md; templates/tags/css-js-tag.md,docs/trim/models/fields/django.md
Function,trim.models.fields.django,filepath,Yes,markdown.md; models/fields.md; models/fields-auto.md; old/models.md,docs/trim/models/fields/django.md
Function,trim.models.fields.django,fk,Yes,README-3.md; README-4.md; README-2.md; models/fields.md; models/fields-auto.md; old/models.md; old/old r.md,docs/trim/models/fields/django.md
Function,trim.models.fields.django,float_,Yes,models/fields.md; models/fields-auto.md; old/models.md,docs/trim/models/fields/django.md
Function,trim.models.fields.django,generic_fk,Yes,models/fields.md; models/fields-auto.md,docs/trim/models/fields/django.md
Function,trim.models.fields.django,get_cached,No,,docs/trim/models/fields/django.md
Function,trim.models.fields.django,get_user_model,Yes,models/fields-auto.md; models/auto_model_mixin.md,docs/trim/models/fields/django.md
Function,trim.models.fields.django,image,Yes,models/fields.md; models/fields-auto.md; old/models.md; forms/all-fields-form.md; research/trim-docs.md; templates/tags/wrap-slots.md,docs/trim/models/fields/django.md
Function,trim.models.fields.django,integer,Yes,models/fields.md; models/fields-auto.md; old/models.md; forms/all-fields-form.md,docs/trim/models/fields/django.md
Function,trim.models.fields.django,ip_addr,Yes,models/fields.md; models/fields-auto.md; old/models.md,docs/trim/models/fields/django.md
Function,trim.models.fields.django,json,Yes,README-3.md; README-4.md; README-2.md; urls/functions.md; models/fields.md; models/fields-auto.md; old/models.md; old/urls.md; old/old r.md; forms/all-fields-form.md; views/readme.md; views/serialized.md; research/trim-beacon.md; research/trim bundle.md,docs/trim/models/fields/django.md
Function,trim.models.fields.django,m2m,Yes,models/fields.md; models/fields-auto.md; old/models.md,docs/trim/models/fields/django.md
Function,trim.models.fields.django,null_bool,Yes,models/fields.md; models/fields-auto.md; old/models.md,docs/trim/models/fields/django.md
Function,trim.models.fields.django,o2o,Yes,models/fields.md; models/fields-auto.md; old/models.md,docs/trim/models/fields/django.md
Function,trim.models.fields.django,pk_uuid,Yes,models/fields.md; models/fields-auto.md; old/models.md,docs/trim/models/fields/django.md
Function,trim.models.fields.django,pos_big_int,Yes,models/fields.md; models/fields-auto.md; old/models.md,docs/trim/models/fields/django.md
